ACCELEROMETER X,ACCELEROMETER Y,ACCELEROMETER Z,GRAVITY X,GRAVITY Y,GRAVITY Z,LINEAR ACCELERATION X,LINEAR ACCELERATION Y,LINEAR ACCELERATION Z,GYROSCOPE X,GYROSCOPE Y,GYROSCOPE Z,MAGNETIC FIELD X,MAGNETIC FIELD Y,MAGNETIC FIELD Z,ORIENTATION Z,ORIENTATION X,ORIENTATION Y,ATMOSPHERIC PRESSURE (Pascal),LOCATION Latitude,LOCATION Longitude,LOCATION Speed,LOCATION ORIENTATION,FRAME
10.204422,-0.433289,-0.397949,9.78097,-0.398774,-0.586526,-0.024608,0.035575,0.191871,0.001755,-0.037949,-0.014252,20.837,-17.8194,-0.5594,175.7784,2.3823,-93.4486,102043.92,-33.964302,18.472769,0,,55
10.209366,-0.462021,-0.498367,9.780818,-0.397805,-0.589715,-0.028795,-0.020959,0.1956,-0.0121,-0.047546,-0.007858,20.837,-17.7315,-0.7305,179.1344,2.3305,-93.4317,102043.92,-33.964302,18.472769,0,,56
10.245346,-0.498001,-0.557831,9.780818,-0.397805,-0.589715,-0.017394,-0.069504,0.057449,-0.036591,-0.035828,-0.011063,20.925,-17.8194,-0.7305,179.1344,2.3305,-93.4317,102043.92,-33.964306,18.472773,0,,57
10.245346,-0.498001,-0.557831,9.780512,-0.398324,-0.59442,-0.017394,-0.069504,0.057449,-0.050446,-0.032623,-0.005722,20.925,-17.8194,-0.7305,179.1344,2.3305,-93.4317,102043.92,-33.964306,18.472773,0,,58
10.25972,-0.421387,-0.531876,9.780382,-0.398282,-0.596559,0.015501,-0.039088,0.031796,-0.058975,-0.007065,-0.011063,21.0129,-17.7315,-0.7305,179.0624,2.3276,-93.4905,102044.92,-33.964306,18.472773,0,,59
10.25972,-0.421387,-0.531876,9.780382,-0.398282,-0.596559,0.015501,-0.039088,0.031796,-0.058975,-0.007065,-0.011063,21.0129,-17.7315,-0.7305,179.0624,2.3276,-93.4905,102044.92,-33.964306,18.472773,0,,60
10.222734,-0.440536,-0.379974,9.780436,-0.39724,-0.596384,-0.011181,-0.014824,0.177692,-0.054703,-0.016647,-0.00679,20.5734,-17.6437,-0.816,179.0624,2.3276,-93.4905,102044.92,-33.964306,18.472773,0,,61
10.239334,-0.427399,-0.547531,9.780482,-0.396982,-0.595801,0.024685,-0.006601,0.160105,-0.048309,-0.042221,0.00386,20.5734,-17.6437,-0.816,179.0624,2.3276,-93.4905,102044.92,-33.964306,18.472773,0,,62
10.239334,-0.427399,-0.547531,9.780482,-0.396982,-0.595801,0.024685,-0.006601,0.160105,-0.042984,-0.033691,0.013443,20.4857,-17.556,-1.2438,179.273,2.32,-93.486,102044.92,-33.964306,18.472773,0,,63
10.237718,-0.498001,-0.475311,9.780066,-0.398958,-0.601292,0.032599,-0.073141,0.069071,-0.042984,-0.033691,0.013443,20.4857,-17.556,-1.2438,179.273,2.32,-93.486,102044.92,-33.964306,18.472773,0,,64
10.26378,-0.442001,-0.438721,9.779986,-0.400489,-0.601545,0.020776,-0.075194,0.172207,-0.033401,-0.032623,0.00705,20.4857,-17.6439,-1.3294,179.273,2.32,-93.486,102044.92,-33.964306,18.472773,0,,65
10.26378,-0.442001,-0.438721,9.779926,-0.401988,-0.601533,0.015562,-0.038642,0.234443,-0.03447,-0.042221,-0.002533,20.4857,-17.6439,-1.3294,179.273,2.32,-93.486,102046.92,-33.964306,18.472773,0,,66
