pt1_cam1_X,pt1_cam1_Y,pt2_cam1_X,pt2_cam1_Y,pt3_cam1_X,pt3_cam1_Y,pt4_cam1_X,pt4_cam1_Y
0,0,0,0,0,0,658.679905,470.390591
0,0,0,0,0,0,657.333246,479.055799
0,0,0,0,0,0,660.026565,485.357768
0,0,0,0,0,0,660.699895,480.631291
0,0,0,0,0,0,661.373225,487.721007
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,692.346397,427.852298,0,0
0,0,0,0,683.593109,418.399344,0,0
0,0,0,0,675.513151,412.88512,0,0
0,0,0,0,669.453183,408.158643,0,0
0,0,0,0,656.659916,408.158643,0,0
0,0,0,0,653.293267,409.734136,0,0
0,0,0,0,643.866649,412.097374,0,0
0,0,0,0,642.519989,417.611597,0,0
0,0,0,0,637.133351,423.125821,0,0
0,0,0,0,634.440032,423.125821,0,0
0,0,0,0,633.766702,427.852298,0,0
0,0,0,0,623.666754,431.003282,0,0
0,0,0,0,621.646765,421.550328,0,0
669.453183,465.664114,0,0,619.626775,421.550328,0,0
671.473172,464.876368,0,0,618.280116,412.097374,0,0
670.799842,462.513129,0,0,617.606786,397.130197,0,0
674.166491,453.847921,0,0,615.586796,382.950766,0,0
675.513151,445.97046,0,0,614.913467,356.167396,0,0
674.839821,440.456236,0,0,616.933456,338.83698,0,0
678.20647,437.305252,0,0,622.320095,320.718818,0,0
680.22646,449.121444,0,0,629.726723,309.690372,0,0
680.89979,461.725383,0,0,631.746712,320.718818,0,0
682.246449,479.843545,0,0,631.073382,324.657549,0,0
0,0,0,0,635.113361,334.110503,0,0
0,0,0,0,636.460021,346.714442,0,0
0,0,0,0,641.17333,369.559081,0,0
0,0,0,0,639.82667,397.917943,0,0
0,0,0,0,648.579958,416.036105,0,0
0,0,0,0,646.559968,446.758206,0,0
0,0,0,0,652.619937,470.390591,0,0
0,0,0,0,655.986586,492.447484,0,0
0,0,0,0,658.679905,503.47593,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,658.679905,380.587527
0,0,0,0,0,0,678.20647,367.195842
0,0,0,0,0,0,685.613098,349.865427
0,0,0,0,0,0,695.039716,337.261488
0,0,677.53314,378.224289,0,0,704.466334,328.59628
0,0,679.55313,371.134573,0,0,709.179642,325.445295
0,0,680.22646,364.044858,0,0,704.466334,330.171772
0,0,682.919779,361.681619,0,0,700.426355,335.685996
0,0,684.266439,353.804158,0,0,699.079695,328.59628
0,0,686.286428,353.804158,0,0,702.446344,326.233042
0,0,685.613098,357.742888,0,0,705.139663,324.657549
0,0,689.653077,362.469365,0,0,711.199632,318.35558
0,0,685.613098,368.771335,0,0,724.666228,315.204595
0,0,685.613098,364.832604,0,0,722.646239,303.388403
0,0,686.959758,366.408096,0,0,727.359548,286.057987
0,0,686.959758,364.832604,0,0,731.399527,275.02954
0,0,687.633088,370.346827,0,0,728.706207,251.397155
0,0,680.89979,374.285558,0,0,715.239611,236.429978
0,0,672.146502,397.130197,0,0,705.812993,238.793217
0,0,665.413204,426.276805,0,0,699.753025,258.486871
0,0,660.026565,464.088621,0,0,700.426355,275.817287
0,0,659.353235,490.871991,0,0,699.079695,301.025164
0,0,0,0,0,0,694.366386,321.506565
0,0,0,0,0,0,684.939769,338.049234
0,0,0,0,0,0,671.473172,356.167396
0,0,0,0,0,0,668.106523,367.983589
0,0,0,0,0,0,664.066544,385.314004
0,0,0,0,0,0,662.046554,399.493435
0,0,0,0,0,0,648.579958,424.701313
0,0,0,0,0,0,643.866649,437.305252
0,0,0,0,0,0,637.806681,448.333698
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,662.046554,405.795405,0,0
0,0,0,0,659.353235,390.828228,0,0
